model,mean_crps,energy_score,variogram_score,n_observations
dcc_garch,0.0208341876156091,0.1003929779415297,0.6346074886977622,169
student_t_terminal,0.0209044351655952,0.1007800850793715,0.6542493179644578,169
gaussian_terminal,0.0209342991436449,0.1008454711420072,0.661880005565089,169
historical_weighted,0.0209686291175133,0.1013022127039993,0.6542889757368682,169
MM,0.0209900303411281,0.1012920475871159,0.6543825979389172,169
